Filename,Name,Extension,Date
1805292_stisnic_004.fits,1805292,_stisnic_004,13-Feb-2017
1805292_stisnic_005.fits,1805292,_stisnic_005,21-Mar-2020
1805292_stisnic_006.fits,1805292,_stisnic_006,16-Feb-2023
1808347_mod_001.fits,1808347,_mod_001,13-Feb-2017
1808347_mod_002.fits,1808347,_mod_002,3-Aug-2017
1808347_mod_003.fits,1808347,_mod_003,17-Jan-2019
1808347_mod_004.fits,1808347,_mod_004,23-Mar-2020
1808347_mod_005.fits,1808347,_mod_005,16-Feb-2023
1808347_stis_001.fits,1808347,_stis_001,2013-11-18T19:20:56
1808347_stis_002.fits,1808347,_stis_002,2015-01-06T17:00:19
1808347_stis_003.fits,1808347,_stis_003,2015-01-05T21:02:37
1808347_stis_004.fits,1808347,_stis_004,13-Feb-2017
1808347_stiswfc_001.fits,1808347,_stiswfc_001,17-Jan-2019
1808347_stiswfc_002.fits,1808347,_stiswfc_002,21-Mar-2020
1808347_stiswfc_003.fits,1808347,_stiswfc_003,2-Mar-2021
1808347_stiswfc_004.fits,1808347,_stiswfc_004,16-Feb-2023
1812095_mod_001.fits,1812095,_mod_001,13-Feb-2017
1812095_mod_002.fits,1812095,_mod_002,3-Aug-2017
1812095_mod_003.fits,1812095,_mod_003,23-Mar-2020
1812095_mod_004.fits,1812095,_mod_004,16-Feb-2023
1812095_nic_001.fits,1812095,_nic_001,2015-01-06T17:00:19
1812095_nic_002.fits,1812095,_nic_002,2015-01-06T17:00:19
1812095_stisnic_001.fits,1812095,_stisnic_001,2013-11-18T19:20:56
1812095_stisnic_002.fits,1812095,_stisnic_002,2015-01-06T17:00:19
1812095_stisnic_003.fits,1812095,_stisnic_003,2015-01-05T21:02:37
1812095_stisnic_004.fits,1812095,_stisnic_004,13-Feb-2017
1812095_stisnic_005.fits,1812095,_stisnic_005,21-Mar-2020
1812095_stisnic_006.fits,1812095,_stisnic_006,16-Feb-2023
1812524_nic_002.fits,1812524,_nic_002,2015-01-06T17:00:19
1812524_nic_003.fits,1812524,_nic_003,2013-11-18T19:20:56
1812524_nic_004.fits,1812524,_nic_004,2015-01-06T17:00:19
1812524_nic_005.fits,1812524,_nic_005,21-Mar-2020
18sco_mod_001.fits,18sco,_mod_001,30-Aug-2019
18sco_mod_002.fits,18sco,_mod_002,23-Mar-2020
18sco_mod_003.fits,18sco,_mod_003,16-Feb-2023
18sco_mod_004.fits,18sco,_mod_004,4-Apr-2023
18sco_mod_005.fits,18sco,_mod_005,21-Sep-2023
18sco_stis_001.fits,18sco,_stis_001,30-Aug-2019
18sco_stis_002.fits,18sco,_stis_002,21-Mar-2020
18sco_stis_003.fits,18sco,_stis_003,16-Feb-2023
18sco_stis_004.fits,18sco,_stis_004,3-Apr-2023
18sco_stis_005.fits,18sco,_stis_005,20-Sep-2023
2m003618_stisnic_001.fits,2m003618,_stisnic_001,2015-01-06T17:00:19
2m003618_stisnic_002.fits,2m0036+18,2m003618_stisnic_002,2015-01-06T17:00:19
2m003618_stisnic_003.fits,2m0036+18,2m003618_stisnic_003,2010-02-10T23:23:04
2m003618_stisnic_004.fits,2m0036+18,2m003618_stisnic_004,2013-11-18T19:20:56
2m003618_stisnic_005.fits,2m0036+18,2m003618_stisnic_005,2015-01-06T17:00:19
2m003618_stisnic_006.fits,2m0036+18,2m003618_stisnic_006,2015-01-05T21:02:37
2m003618_stiswfcnic_001.fits,2m0036+18,2m003618_stiswfcnic_001,17-Jan-2019
2m003618_stiswfcnic_002.fits,2m0036+18,2m003618_stiswfcnic_002,30-Aug-2019
2m003618_stiswfcnic_003.fits,2m0036+18,2m003618_stiswfcnic_003,21-Mar-2020
2m003618_stiswfcnic_004.fits,2m0036+18,2m003618_stiswfcnic_004,2-Mar-2021
2m003618_stiswfcnic_005.fits,2m0036+18,2m003618_stiswfcnic_005,25-Oct-2022
2m003618_stiswfcnic_006.fits,2m0036+18,2m003618_stiswfcnic_006,16-Feb-2023
2m055914_stisnic_001.fits,2m0559-14,2m055914_stisnic_001,2015-01-06T17:00:19
2m055914_stisnic_002.fits,2m0559-14,2m055914_stisnic_002,2015-01-06T17:00:19
2m055914_stisnic_003.fits,2m0559-14,2m055914_stisnic_003,2010-02-10T23:23:05
2m055914_stisnic_004.fits,2m0559-14,2m055914_stisnic_004,2013-11-18T19:20:56
2m055914_stisnic_005.fits,2m0559-14,2m055914_stisnic_005,2015-01-06T17:00:19
2m055914_stisnic_006.fits,2m0559-14,2m055914_stisnic_006,2015-01-05T21:02:37
2m055914_stiswfcnic_001.fits,2m0559-14,2m055914_stiswfcnic_001,17-Jan-2019
2m055914_stiswfcnic_002.fits,2m0559-14,2m055914_stiswfcnic_002,21-Mar-2020
2m055914_stiswfcnic_003.fits,2m0559-14,2m055914_stiswfcnic_003,2-Mar-2021
2m055914_stiswfcnic_004.fits,2m0559-14,2m055914_stiswfcnic_004,25-Oct-2022
2m055914_stiswfcnic_005.fits,2m0559-14,2m055914_stiswfcnic_005,16-Feb-2023
WDcovar_001.fits,WDcovar_001.fits,,2013-11-18T19:20:56
WDcovar_002.fits,WDcovar_002.fits,,
agk_81d266_005.fits,agk+81d266,agk_81d266_005,2015-01-06T17:00:19
agk_81d266_stis_001.fits,agk+81d266,agk_81d266_stis_001,2015-01-06T17:00:20
agk_81d266_stisnic_002.fits,agk+81d266,agk_81d266_stisnic_002,2015-01-06T17:00:20
agk_81d266_stisnic_003.fits,agk+81d266,agk_81d266_stisnic_003,2010-02-10T23:23:07
agk_81d266_stisnic_004.fits,agk+81d266,agk_81d266_stisnic_004,2013-11-18T19:20:56
agk_81d266_stisnic_005.fits,agk+81d266,agk_81d266_stisnic_005,2015-01-06T17:00:20
agk_81d266_stisnic_006.fits,agk+81d266,agk_81d266_stisnic_006,2015-01-05T21:02:37
agk_81d266_stisnic_007.fits,agk+81d266,agk_81d266_stisnic_007,21-Mar-2020
alpha_lyr_004.fits,alpha-lyr,alpha_lyr_004,2015-01-06T17:00:20
alpha_lyr_005.fits,alpha-lyr,alpha_lyr_005,2015-01-06T17:00:20
alpha_lyr_mod_001.fits,alpha_lyr_mod,_001,2015-01-06T17:00:20
alpha_lyr_mod_002.fits,alpha_lyr_mod,_002,2015-01-06T17:00:20
alpha_lyr_mod_003.fits,alpha_lyr_mod,_003,29-Aug-2019
alpha_lyr_mod_004.fits,alpha_lyr_mod,_004,24-Mar-2020
alpha_lyr_stis_002.fits,alpha_lyr,_stis_002,2015-01-06T17:00:20
alpha_lyr_stis_003.fits,alpha_lyr,_stis_003,2015-01-06T17:00:20
alpha_lyr_stis_004.fits,alpha_lyr,_stis_004,2015-01-06T17:00:20
alpha_lyr_stis_005.fits,alpha_lyr,_stis_005,2015-01-06T17:00:20
alpha_lyr_stis_006.fits,alpha_lyr,_stis_006,2013-11-26T14:22:49
alpha_lyr_stis_007.fits,alpha_lyr,_stis_007,2015-01-06T17:00:20
alpha_lyr_stis_008.fits,alpha_lyr,_stis_008,2015-01-05T21:02:37
alpha_lyr_stis_009.fits,alpha_lyr,_stis_009,30-Aug-2019
alpha_lyr_stis_010.fits,hd172167,alpha_lyr_stis_010,21-Mar-2020
alpha_lyr_stis_011.fits,hd172167,alpha_lyr_stis_011,25-Oct-2022
bd02d3375_mod_001.fits,bd02d3375,_mod_001,30-Aug-2019
bd02d3375_mod_002.fits,bd02d3375,_mod_002,23-Mar-2020
bd02d3375_mod_003.fits,bd02d3375,_mod_003,16-Feb-2023
bd02d3375_stis_001.fits,bd02d3375,_stis_001,2013-11-18T19:20:56
bd02d3375_stis_002.fits,bd02d3375,_stis_002,2015-01-06T17:00:20
bd02d3375_stis_003.fits,bd02d3375,_stis_003,2015-01-05T21:02:37
bd02d3375_stis_004.fits,bd02d3375,_stis_004,30-Aug-2019
bd02d3375_stis_005.fits,bd02d3375,_stis_005,21-Mar-2020
bd02d3375_stis_006.fits,bd02d3375,_stis_006,16-Feb-2023
bd11d3759_stis_001.fits,bd11d3759,_stis_001,17-Jan-2019
bd11d3759_stis_002.fits,bd11d3759,_stis_002,21-Mar-2020
bd11d3759_stis_003.fits,bd11d3759,_stis_003,25-Oct-2022
bd17d4708_stis_001.fits,bd17d4708,_stis_001,2015-01-06T17:00:20
bd17d4708_stisnic_001.fits,bd17d4708,_stisnic_001,2015-01-06T17:00:20
bd21d0607_mod_001.fits,bd21d0607,_mod_001,30-Aug-2019
bd21d0607_mod_002.fits,bd21d0607,_mod_002,23-Mar-2020
bd21d0607_mod_003.fits,bd21d0607,_mod_003,16-Feb-2023
bd21d0607_stis_001.fits,bd21d0607,_stis_001,2013-11-18T19:20:56
bd21d0607_stis_002.fits,bd21d0607,_stis_002,2015-01-06T17:00:20
bd21d0607_stis_003.fits,bd21d0607,_stis_003,2015-01-05T21:02:37
bd21d0607_stis_004.fits,bd21d0607,_stis_004,30-Aug-2019
bd21d0607_stis_005.fits,bd21d0607,_stis_005,21-Mar-2020
bd21d0607_stis_006.fits,bd21d0607,_stis_006,16-Feb-2023
bd26d2606_mod_001.fits,bd26d2606,_mod_001,30-Aug-2019
bd26d2606_mod_002.fits,bd26d2606,_mod_002,23-Mar-2020
bd26d2606_mod_003.fits,bd26d2606,_mod_003,16-Feb-2023
bd26d2606_stis_001.fits,bd26d2606,_stis_001,2013-11-18T19:20:56
bd26d2606_stis_002.fits,bd26d2606,_stis_002,2015-01-06T17:00:20
bd26d2606_stis_003.fits,bd26d2606,_stis_003,2015-01-05T21:02:37
bd26d2606_stis_004.fits,bd26d2606,_stis_004,30-Aug-2019
bd26d2606_stis_005.fits,bd26d2606,_stis_005,21-Mar-2020
